Ó¢ÐÛid	ËùÊô½ÇÉ«	½ÇÉ«Ãû×Ö	ÐÔ±ð	Ä£ÐÍÃû³Æ	Í·ÏñÃû³Æ	Ö°Òµ	ÕóÓª	³õÊ¼ÐÇ¼¶	Æ·½×	ÏÂ½×¶Î±àºÅ	Í»ÆÆËùÐèµÈ¼¶	Í»ÆÆÐèÒªÎïÆ·	Í»ÆÆÐèÒª½ðÇ®	½Úµã1Ãû³Æ	½Úµã2Ãû³Æ	½Úµã3Ãû³Æ	½Úµã4Ãû³Æ	½Úµã5Ãû³Æ	½Úµã6Ãû³Æ	½Úµã1Í¼±ê	½Úµã2Í¼±ê	½Úµã3Í¼±ê	½Úµã4Í¼±ê	½Úµã5Í¼±ê	½Úµã6Í¼±ê	½Úµã1ÊôÐÔ	½Úµã2ÊôÐÔ	½Úµã3ÊôÐÔ	½Úµã4ÊôÐÔ	½Úµã5ÊôÐÔ	½Úµã6ÊôÐÔ	»ù´¡ÆøÑª	»ù´¡¹¥»÷	»ù´¡Îï·À	·¨ÊõÇ¿¶È	»ù´¡·¨·À	ÆÆ¼×	´©Í¸	±©»÷	¿¹±©	ÃüÖÐ	ÉÁ±Ü	¹¥»÷ËÙ¶È	ÎüÑª	ÉËº¦¼õÃâ	ÖÎÁÆ¼Ó³É	¹¥ËÙ¼Ó³É°Ù·Ö±È	ÎüÑªÂÊ	ÃâÉËÂÊ	ÖÎÁÆ¼Ó³ÉÂÊ	·¨Ç¿ÏµÊý	³ÐÊÜÉËº¦¼¼ÄÜµã	ÒÆ¶¯ËÙ¶È	¼¼ÄÜ1	¼¼ÄÜ2	¼¼ÄÜ3	¼¼ÄÜ4	¼¼ÄÜ5	¼¼ÄÜ6	¼¼ÄÜ99	ÅÅÐòÈ¨ÖØ	ÆÕÍ¨¹¥»÷																												
101065	106	¶¾Ê¦	1	dou03	101061	4	1	2	5	0	0	0	0	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	¸´ËÕ	pp13	pp9	pp6	pp15	pp14	pp12	50;5000;hpBase&890,attBase&75,defBase&20,magicStr&75,wisBase&40,penetrate&100	52;5200;hpBase&890,attBase&75,defBase&20,magicStr&75,wisBase&40,evaBase&80	54;5400;hpBase&890,attBase&75,defBase&20,magicStr&75,wisBase&40,cri&72	56;5600;hpBase&890,attBase&75,defBase&20,magicStr&75,wisBase&40,hit&160	58;5800;hpBase&890,attBase&75,defBase&20,magicStr&75,wisBase&40,defCri&36	60;6000;hpBase&890,attBase&75,defBase&20,magicStr&75,wisBase&40,cureAddtion&0.1	8996	757	202	757	402.6	0	230	128	64	200	100	0	0	0	0	0	0	0	0.15	0.5	20	6	10601	10602	10603	10605	10612	10604	19999	30	10600																												
101071	107	´¬³¤	1	dichi01	101071	1	2	2	1	101072	12	121051&30;121011&1	5000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp7	pp9	pp6	pp15	pp14	pp11	4;300;hpBase&212,attBase&14,defBase&7,wisBase&7,breakArm&20	10;400;hpBase&212,attBase&14,defBase&7,wisBase&7,evaBase&10	0	0	0	0	180	10	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	10701	10702	10705	10704	10706	10711	19999	31	10700																												
101072	107	´¬³¤	1	dichi01	101071	1	2	2	2	101073	20	121051&100;121012&3	10000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp7	pp9	pp6	pp15	pp14	pp11	14;500;hpBase&424,attBase&28,defBase&14,wisBase&14,breakArm&40	15;600;hpBase&424,attBase&28,defBase&14,wisBase&14,evaBase&15	17;700;hpBase&424,attBase&28,defBase&14,wisBase&14,cri&30	0	0	0	604	38	18	0	18	20	0	0	0	0	10	0	0	0	0	0	0	0	0	0	20	6	10701	10702	10705	10704	10706	10711	19999	32	10700																												
101073	107	´¬³¤	1	dichi02	101071	1	2	2	3	101074	33	121051&300;121013&15	20000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp7	pp9	pp6	pp15	pp14	pp11	22;1000;hpBase&636,attBase&42,defBase&21,wisBase&21,breakArm&80	23;1200;hpBase&636,attBase&42,defBase&21,wisBase&21,evaBase&25	25;1400;hpBase&636,attBase&42,defBase&21,wisBase&21,cri&40	27;1600;hpBase&636,attBase&42,defBase&21,wisBase&21,hit&100	29;1800;hpBase&636,attBase&42,defBase&21,wisBase&21,defCri&30	31;2000;hpBase&636,attBase&42,defBase&21,wisBase&21,harmReduceProp&0.1	1876	122	60	0	60	60	0	30	0	0	25	0	0	0	0	0	0	0	0	0	20	6	10701	10702	10705	10704	10706	10711	19999	33	10700																												
101074	107	´¬³¤	1	dichi02	101071	1	2	2	4	101075	48	121051&500;121014&20	40000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp7	pp9	pp6	pp15	pp14	pp11	35;3000;hpBase&848,attBase&56,defBase&28,wisBase&28,breakArm&90	37;3200;hpBase&848,attBase&56,defBase&28,wisBase&28,evaBase&50	39;3400;hpBase&848,attBase&56,defBase&28,wisBase&28,cri&58	42;3600;hpBase&848,attBase&56,defBase&28,wisBase&28,hit&100	44;3800;hpBase&848,attBase&56,defBase&28,wisBase&28,defCri&34	46;4000;hpBase&848,attBase&56,defBase&28,wisBase&28,harmReduceProp&0.1	5692	374	186	0	186	140	0	70	30	100	50	0	0	0	0	0	0	0.1	0	0	20	6	10701	10702	10705	10704	10706	10711	19999	34	10700																												
101075	107	´¬³¤	1	dichi03	101071	1	2	2	5	0	0	0	0	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp7	pp9	pp6	pp15	pp14	pp11	50;5000;hpBase&1060,attBase&70,defBase&35,wisBase&35,breakArm&100	52;5200;hpBase&1060,attBase&70,defBase&35,wisBase&35,evaBase&80	54;5400;hpBase&1060,attBase&70,defBase&35,wisBase&35,cri&72	56;5600;hpBase&1060,attBase&70,defBase&35,wisBase&35,hit&160	58;5800;hpBase&1060,attBase&70,defBase&35,wisBase&35,defCri&36	60;6000;hpBase&1060,attBase&70,defBase&35,wisBase&35,harmReduceProp&0.1	10780	710	354	0	354	230	0	128	64	200	100	0	0	0	0	0	0	0.2	0	0	20	6	10701	10702	10705	10704	10706	10711	19999	35	10700																												
101081	108	¾£¼¬Å®	2	posion01	101081	4	5	2	1	101082	12	121051&30;121031&1	5000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	4;300;hpBase&178,attBase&20,defBase&4,magicStr&33,wisBase&7,penetrate&24	10;400;hpBase&178,attBase&20,defBase&4,magicStr&33,wisBase&7,evaBase&10	0	0	0	0	96	12	2	21	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	20	6	10801	10802	10803	10811	10804	10812	19999	36	10800																												
101082	108	¾£¼¬Å®	2	posion01	101081	4	5	2	2	101083	20	121051&100;121032&3	10000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	14;500;hpBase&356,attBase&40,defBase&8,magicStr&66,wisBase&14,penetrate&48	15;600;hpBase&356,attBase&40,defBase&8,magicStr&66,wisBase&14,evaBase&15	17;700;hpBase&356,attBase&40,defBase&8,magicStr&66,wisBase&14,cri&60	0	0	0	452	52	10	87	16.6	0	24	0	0	0	10	0	0	0	0	0	0	0	0	0.5	20	6	10801	10802	10803	10811	10804	10812	19999	37	10800																												
101083	108	¾£¼¬Å®	2	posion02	101081	4	5	2	3	101084	33	121051&300;121033&15	20000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	22;1000;hpBase&534,attBase&60,defBase&12,magicStr&99,wisBase&21,penetrate&96	23;1200;hpBase&534,attBase&60,defBase&12,magicStr&99,wisBase&21,evaBase&25	25;1400;hpBase&534,attBase&60,defBase&12,magicStr&99,wisBase&21,cri&80	27;1600;hpBase&534,attBase&60,defBase&12,magicStr&99,wisBase&21,hit&150	29;1800;hpBase&534,attBase&60,defBase&12,magicStr&99,wisBase&21,defCri&30	31;2000;hpBase&534,attBase&60,defBase&12,magicStr&99,wisBase&21,defCri&60	1520	172	34	285	58.6	0	72	60	0	0	25	0	0	0	0	0	0	0	0	0.5	20	6	10801	10802	10803	10811	10804	10812	19999	38	10800																												
101084	108	¾£¼¬Å®	2	posion02	101081	4	5	2	4	101085	48	121051&500;121034&20	40000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	35;3000;hpBase&712,attBase&80,defBase&16,magicStr&132,wisBase&28,penetrate&108	37;3200;hpBase&712,attBase&80,defBase&16,magicStr&132,wisBase&28,evaBase&50	39;3400;hpBase&712,attBase&80,defBase&16,magicStr&132,wisBase&28,cri&116	42;3600;hpBase&712,attBase&80,defBase&16,magicStr&132,wisBase&28,hit&150	44;3800;hpBase&712,attBase&80,defBase&16,magicStr&132,wisBase&28,defCri&34	46;4000;hpBase&712,attBase&80,defBase&16,magicStr&132,wisBase&28,defCri&68	4724	532	106	879	184.6	0	168	140	90	150	50	0	0	0	0	0	0	0	0	0.5	20	6	10801	10802	10803	10811	10804	10812	19999	39	10800																												
101085	108	¾£¼¬Å®	2	posion03	101081	4	5	2	5	0	0	0	0	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	50;5000;hpBase&890,attBase&100,defBase&20,magicStr&165,wisBase&35,penetrate&120	52;5200;hpBase&890,attBase&100,defBase&20,magicStr&165,wisBase&35,evaBase&80	54;5400;hpBase&890,attBase&100,defBase&20,magicStr&165,wisBase&35,cri&144	56;5600;hpBase&890,attBase&100,defBase&20,magicStr&165,wisBase&35,hit&240	58;5800;hpBase&890,attBase&100,defBase&20,magicStr&165,wisBase&35,defCri&36	60;6000;hpBase&890,attBase&100,defBase&20,magicStr&165,wisBase&35,defCri&72	8996	1012	202	1671	352.6	0	276	256	192	300	100	0	0	0	0	0	0	0	0	0.5	20	6	10801	10802	10803	10811	10804	10812	19999	40	10800																												
101091	109	½£¼§	2	nobunaga01	101091	2	6	1	1	101092	12	121051&30;121001&1	5000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	Ñ¸¼²	Ó¢ÓÂ	²»Ãð	pp7	pp9	pp6	pp8	pp14	pp10	4;300;hpBase&112,attBase&18,defBase&1,wisBase&1,breakArm&24	10;400;hpBase&112,attBase&18,defBase&1,wisBase&1,evaBase&12	0	0	0	0	57	12	1.08	0	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	10901	10902	10903	10911	10904	10912	19999	41	10900																												
101092	109	½£¼§	2	nobunaga01	101091	2	6	1	2	101093	20	121051&100;121002&3	10000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	Ñ¸¼²	Ó¢ÓÂ	²»Ãð	pp7	pp9	pp6	pp8	pp14	pp10	14;500;hpBase&224,attBase&36,defBase&2,wisBase&2,breakArm&48	15;600;hpBase&224,attBase&36,defBase&2,wisBase&2,evaBase&18	17;700;hpBase&224,attBase&36,defBase&2,wisBase&2,cri&45	0	0	0	281	48	3.08	0	3.08	24	0	0	0	0	12	0	0	0	0	0	0	0	0	0	20	6	10901	10902	10903	10911	10904	10912	19999	42	10900																												
101093	109	½£¼§	2	nobunaga02	101091	2	6	1	3	101094	33	121051&300;121003&15	20000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	Ñ¸¼²	Ó¢ÓÂ	²»Ãð	pp7	pp9	pp6	pp8	pp14	pp10	22;1000;hpBase&336,attBase&54,defBase&3,wisBase&3,breakArm&96	23;1200;hpBase&336,attBase&54,defBase&3,wisBase&3,evaBase&30	25;1400;hpBase&336,attBase&54,defBase&3,wisBase&3,cri&60	27;1600;hpBase&336,attBase&54,defBase&3,wisBase&3,attSpeProp&0.05	29;1800;hpBase&336,attBase&54,defBase&3,wisBase&3,defCri&30	31;2000;hpBase&336,attBase&54,defBase&3,wisBase&3,suckBloodProp&0.03	953	156	9.08	0	9.08	72	0	45	0	0	30	0	0	0	0	0	0	0	0	0	20	6	10901	10902	10903	10911	10904	10912	19999	43	10900																												
101094	109	½£¼§	2	nobunaga02	101091	2	6	1	4	101095	48	121051&500;121004&20	40000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	Ñ¸¼²	Ó¢ÓÂ	²»Ãð	pp7	pp9	pp6	pp8	pp14	pp10	35;3000;hpBase&448,attBase&72,defBase&4,wisBase&4,breakArm&108	37;3200;hpBase&448,attBase&72,defBase&4,wisBase&4,evaBase&60	39;3400;hpBase&448,attBase&72,defBase&4,wisBase&4,cri&87	42;3600;hpBase&448,attBase&72,defBase&4,wisBase&4,attSpeProp&0.1	44;3800;hpBase&448,attBase&72,defBase&4,wisBase&4,defCri&34	46;4000;hpBase&448,attBase&72,defBase&4,wisBase&4,suckBloodProp&0.03	2969	480	27.08	0	27.08	168	0	105	30	0	60	0	0	0	0	0.05	0.03	0	0	0	20	6	10901	10902	10903	10911	10904	10912	19999	44	10900																												
101095	109	½£¼§	2	nobunaga03	101091	2	6	1	5	0	0	0	0	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	Ñ¸¼²	Ó¢ÓÂ	²»Ãð	pp7	pp9	pp6	pp8	pp14	pp10	50;5000;hpBase&560,attBase&90,defBase&5,wisBase&5,breakArm&120	52;5200;hpBase&560,attBase&90,defBase&5,wisBase&5,evaBase&96	54;5400;hpBase&560,attBase&90,defBase&5,wisBase&5,cri&108	56;5600;hpBase&560,attBase&90,defBase&5,wisBase&5,attSpeProp&0.1	58;5800;hpBase&560,attBase&90,defBase&5,wisBase&5,defCri&36	60;6000;hpBase&560,attBase&90,defBase&5,wisBase&5,suckBloodProp&0.04	5657	912	51.08	0	51.08	276	0	192	64	0	120	0	0	0	0	0.15	0.06	0	0	0	20	6	10901	10902	10903	10911	10904	10912	19999	45	10900																												
101101	110	´Ì¿Í	2	illidan01	101101	2	4	2	1	101102	12	121051&30;121001&1	5000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	4;300;hpBase&178,attBase&26,defBase&3,wisBase&1,breakArm&24	10;400;hpBase&178,attBase&26,defBase&3,wisBase&1,evaBase&24	0	0	0	0	96	15.54	1.97	0	1.08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	6	11001	11002	11003	11011	11004	11012	19999	46	11000																												
101102	110	´Ì¿Í	2	illidan01	101101	2	4	2	2	101103	20	121051&100;121002&3	10000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	14;500;hpBase&356,attBase&52,defBase&6,wisBase&2,breakArm&48	15;600;hpBase&356,attBase&52,defBase&6,wisBase&2,evaBase&36	17;700;hpBase&356,attBase&52,defBase&6,wisBase&2,cri&45	0	0	0	452	67.54	7.97	0	3.08	24	0	0	0	0	24	0	0	0	0	0	0	0	0	0	20	6	11001	11002	11003	11011	11004	11012	19999	47	11000																												
101103	110	´Ì¿Í	2	illidan02	101101	2	4	2	3	101104	33	121051&300;121003&15	20000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	22;1000;hpBase&534,attBase&78,defBase&9,wisBase&3,breakArm&96	23;1200;hpBase&534,attBase&78,defBase&9,wisBase&3,evaBase&60	25;1400;hpBase&534,attBase&78,defBase&9,wisBase&3,cri&60	27;1600;hpBase&534,attBase&78,defBase&9,wisBase&3,hit&100	29;1800;hpBase&534,attBase&78,defBase&9,wisBase&3,defCri&30	31;2000;hpBase&534,attBase&78,defBase&9,wisBase&3,attSpeProp&0.05	1520	223.54	25.97	0	9.08	72	0	45	0	0	60	0	0	0	0	0	0	0	0	0	20	6	11001	11002	11003	11011	11004	11012	19999	48	11000																												
101104	110	´Ì¿Í	2	illidan02	101101	2	4	2	4	101105	48	121051&500;121004&20	40000	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	35;3000;hpBase&712,attBase&104,defBase&12,wisBase&4,breakArm&108	37;3200;hpBase&712,attBase&104,defBase&12,wisBase&4,evaBase&120	39;3400;hpBase&712,attBase&104,defBase&12,wisBase&4,cri&87	42;3600;hpBase&712,attBase&104,defBase&12,wisBase&4,hit&100	44;3800;hpBase&712,attBase&104,defBase&12,wisBase&4,defCri&34	46;4000;hpBase&712,attBase&104,defBase&12,wisBase&4,attSpeProp&0.1	4724	691.54	79.97	0	27.08	168	0	105	30	100	120	0	0	0	0	0.05	0	0	0	0	20	6	11001	11002	11003	11011	11004	11012	19999	49	11000																												
101105	110	´Ì¿Í	2	illidan03	101101	2	4	2	5	0	0	0	0	ÆÆÊÆ	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ñ¸¼²	pp7	pp9	pp6	pp15	pp14	pp8	50;5000;hpBase&890,attBase&130,defBase&15,wisBase&5,breakArm&120	52;5200;hpBase&890,attBase&130,defBase&15,wisBase&5,evaBase&192	54;5400;hpBase&890,attBase&130,defBase&15,wisBase&5,cri&108	56;5600;hpBase&890,attBase&130,defBase&15,wisBase&5,hit&160	58;5800;hpBase&890,attBase&130,defBase&15,wisBase&5,defCri&36	60;6000;hpBase&890,attBase&130,defBase&15,wisBase&5,attSpeProp&0.1	8996	1315.54	151.97	0	51.08	276	0	192	64	200	240	0	0	0	0	0.15	0	0	0	0	20	6	11001	11002	11003	11011	11004	11012	19999	50	11000																												
101111	111	Ê¹Í½	1	sakiel01	101111	1	6	2	1	101112	12	121051&30;121011&1	5000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp13	pp9	pp6	pp15	pp14	pp11	4;300;hpBase&265,attBase&15,defBase&7,magicStr&15,wisBase&7,penetrate&24	10;400;hpBase&265,attBase&15,defBase&7,magicStr&15,wisBase&7,evaBase&10	0	0	0	0	180	12	4	12	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3	20	6	11101	11102	11103	11111	11104	11112	19999	51	11100																												
101112	111	Ê¹Í½	1	sakiel01	101111	1	6	2	2	101113	20	121051&100;121012&3	10000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp13	pp9	pp6	pp15	pp14	pp11	14;500;hpBase&530,attBase&30,defBase&14,magicStr&30,wisBase&14,penetrate&48	15;600;hpBase&530,attBase&30,defBase&14,magicStr&30,wisBase&14,evaBase&15	17;700;hpBase&530,attBase&30,defBase&14,magicStr&30,wisBase&14,cri&60	0	0	0	710	42	18	42	18	0	24	0	0	0	10	0	0	0	0	0	0	0	0	0.3	20	6	11101	11102	11103	11111	11104	11112	19999	52	11100																												
101113	111	Ê¹Í½	1	sakiel02	101111	1	6	2	3	101114	33	121051&300;121013&15	20000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp13	pp9	pp6	pp15	pp14	pp11	22;1000;hpBase&795,attBase&45,defBase&21,magicStr&45,wisBase&21,penetrate&96	23;1200;hpBase&795,attBase&45,defBase&21,magicStr&45,wisBase&21,evaBase&25	25;1400;hpBase&795,attBase&45,defBase&21,magicStr&45,wisBase&21,cri&80	27;1600;hpBase&795,attBase&45,defBase&21,magicStr&45,wisBase&21,hit&150	29;1800;hpBase&795,attBase&45,defBase&21,magicStr&45,wisBase&21,defCri&30	31;2000;hpBase&795,attBase&45,defBase&21,magicStr&45,wisBase&21,harmReduceProp&0.05	2300	132	60	132	60	0	72	60	0	0	25	0	0	0	0	0	0	0	0	0.3	20	6	11101	11102	11103	11111	11104	11112	19999	53	11100																												
101114	111	Ê¹Í½	1	sakiel02	101111	1	6	2	4	101115	48	121051&500;121014&20	40000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp13	pp9	pp6	pp15	pp14	pp11	35;3000;hpBase&1060,attBase&60,defBase&28,magicStr&60,wisBase&28,penetrate&108	37;3200;hpBase&1060,attBase&60,defBase&28,magicStr&60,wisBase&28,evaBase&50	39;3400;hpBase&1060,attBase&60,defBase&28,magicStr&60,wisBase&28,cri&116	42;3600;hpBase&1060,attBase&60,defBase&28,magicStr&60,wisBase&28,hit&150	44;3800;hpBase&1060,attBase&60,defBase&28,magicStr&60,wisBase&28,defCri&34	46;4000;hpBase&1060,attBase&60,defBase&28,magicStr&60,wisBase&28,harmReduceProp&0.1	7070	402	186	402	186	0	168	140	30	150	50	0	0	0	0	0	0	0.05	0	0.3	20	6	11101	11102	11103	11111	11104	11112	19999	54	11100																												
101115	111	Ê¹Í½	1	sakiel03	101111	1	6	2	5	0	0	0	0	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÎÞÎ·	pp13	pp9	pp6	pp15	pp14	pp11	50;5000;hpBase&1325,attBase&75,defBase&35,magicStr&75,wisBase&35,penetrate&120	52;5200;hpBase&1325,attBase&75,defBase&35,magicStr&75,wisBase&35,evaBase&80	54;5400;hpBase&1325,attBase&75,defBase&35,magicStr&75,wisBase&35,cri&144	56;5600;hpBase&1325,attBase&75,defBase&35,magicStr&75,wisBase&35,hit&240	58;5800;hpBase&1325,attBase&75,defBase&35,magicStr&75,wisBase&35,defCri&36	60;6000;hpBase&1325,attBase&75,defBase&35,magicStr&75,wisBase&35,harmReduceProp&0.1	13430	762	354	762	354	0	276	256	64	300	100	0	0	0	0	0	0	0.15	0	0.3	20	6	11101	11102	11103	11111	11104	11112	19999	55	11100																												
101121	112	°ßÒ¯	1	uchiha01	101121	3	1	3	1	101122	12	121051&30;121021&1	5000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÖÂÃü	pp13	pp9	pp6	pp15	pp14	pp6	4;300;hpBase&138,attBase&22,defBase&3,magicStr&33,wisBase&5,penetrate&48	10;400;hpBase&138,attBase&22,defBase&3,magicStr&33,wisBase&5,evaBase&20	0	0	0	0	62.7	14	1.97	21	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	20	6	11201	11202	11203	11211	11204	11212	19999	56	11200																												
101122	112	°ßÒ¯	1	uchiha01	101121	3	1	3	2	101123	20	121051&100;121022&3	10000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÖÂÃü	pp13	pp9	pp6	pp15	pp14	pp6	14;500;hpBase&276,attBase&44,defBase&6,magicStr&66,wisBase&10,penetrate&96	15;600;hpBase&276,attBase&44,defBase&6,magicStr&66,wisBase&10,evaBase&30	17;700;hpBase&276,attBase&44,defBase&6,magicStr&66,wisBase&10,cri&60	0	0	0	338.7	58	7.97	87	12.2	0	48	0	0	0	20	0	0	0	0	0	0	0	0	0.6	20	6	11201	11202	11203	11211	11204	11212	19999	57	11200																												
101123	112	°ßÒ¯	1	uchiha02	101121	3	1	3	3	101124	33	121051&300;121023&15	20000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÖÂÃü	pp13	pp9	pp6	pp15	pp14	pp6	22;1000;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,penetrate&192	23;1200;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,evaBase&50	25;1400;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,cri&80	27;1600;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,hit&150	29;1800;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,defCri&90	31;2000;hpBase&414,attBase&66,defBase&9,magicStr&99,wisBase&15,cri&100	1166.7	190	25.97	285	42.2	0	144	60	0	0	50	0	0	0	0	0	0	0	0	0.6	20	6	11201	11202	11203	11211	11204	11212	19999	58	11200																												
101124	112	°ßÒ¯	1	uchiha02	101121	3	1	3	4	101125	48	121051&500;121024&20	40000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÖÂÃü	pp13	pp9	pp6	pp15	pp14	pp6	35;3000;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,penetrate&216	37;3200;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,evaBase&100	39;3400;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,cri&116	42;3600;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,hit&150	44;3800;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,defCri&102	46;4000;hpBase&552,attBase&88,defBase&12,magicStr&132,wisBase&20,cri&150	3650.7	586	79.97	879	132.2	0	336	240	90	150	100	0	0	0	0	0	0	0	0	0.6	20	6	11201	11202	11203	11211	11204	11212	19999	59	11200																												
101125	112	°ßÒ¯	1	uchiha03	101121	3	1	3	5	0	0	0	0	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	ÖÂÃü	pp13	pp9	pp6	pp15	pp14	pp6	50;5000;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,penetrate&240	52;5200;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,evaBase&160	54;5400;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,cri&144	56;5600;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,hit&240	58;5800;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,defCri&108	60;6000;hpBase&690,attBase&110,defBase&15,magicStr&165,wisBase&25,cri&150	6962.7	1114	151.97	1671	252.2	0	552	506	192	300	200	0	0	0	0	0	0	0	0	0.6	20	6	11201	11202	11203	11211	11204	11212	19999	60	11200																												
101131	113	Íõ×Ó	1	geass01	101131	3	6	1	1	101132	12	121051&30;121021&1	5000	¾øÉ±	»ÃÓ°	ÖÂÃü	¾Û½¹	Ó¢ÓÂ	Ó¢ÓÂ	pp13	pp9	pp6	pp15	pp14	pp14	4;300;hpBase&178,attBase&22,defBase&5,magicStr&33,wisBase&5,penetrate&24	10;400;hpBase&178,attBase&22,defBase&5,magicStr&33,wisBase&5,evaBase&10	0	0	0	0	96	14	2.2	21	2.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6	20	6	11301	11302	11303	11311	11304	11312	19999	61	11300																												
